,Nom,Age,Ville,Salaire,Prime
0,Brandon Russell,40,Londres,36392,568
1,Steven Johnson,36,Londres,53882,623
2,Evelyn Christian,45,Paris,46166,532
3,George Cook,22,Londres,32609,1445
4,Aaron Graham,52,Londres,86114,1998
5,Kyle Jones,25,Paris,95071,1487
6,Jerome Whitehead,32,Paris,47287,1682
7,Charles Tyler,52,Londres,92563,1631
8,Thomas Berry,32,Paris,35604,828
9,Ryan Mack,21,Londres,91644,1752
10,Robert Clark,32,Londres,48553,545
11,Kelsey Pacheco,37,New York,72708,638
12,James Hammond,56,Londres,78467,684
13,Melinda Little,34,Paris,58948,642
14,Stefanie Tucker,25,New York,34214,1860
15,Jade Johnson,58,Londres,90739,1025
16,Catherine Wilkins,40,Londres,96075,1909
17,Mary Jackson,25,Paris,67841,1776
18,James Jones,41,Londres,31826,1345
19,Kenneth Rogers,55,Paris,72024,807
20,Brandon Fuller,54,Londres,80659,1396
21,Harold Perez,28,New York,59828,1795
22,Misty Stout,54,New York,38209,1547
23,Wendy Maynard,28,Londres,63208,1175
24,Cynthia Webb,50,Paris,67367,620
25,William Wallace,51,Londres,52022,1988
26,Amanda Taylor,45,Paris,84533,629
27,David Bell,21,New York,76874,1413
28,Jeffrey Fisher,36,Londres,85702,1513
29,Arthur Kelly,56,Londres,35689,780
30,Jeffrey Smith,51,Paris,31700,1227
31,Angel Benson,41,Londres,95117,1544
32,William Baker,45,New York,51596,1579
33,Paul Rogers,34,New York,55983,1804
34,Mark Booker,52,Londres,36110,1242
35,Jennifer Robbins,28,Paris,65317,1473
36,Jacqueline Young,59,New York,98782,1792
37,Shawn Brown,60,Londres,51748,940
38,Kimberly Thomas,20,Londres,99629,999
39,Sydney Parsons,58,Londres,55435,898
40,Cameron Proctor,58,New York,69682,1727
41,Lori Pham,51,New York,95514,1021
42,Antonio Taylor,41,Londres,91261,759
43,Hannah Pitts,57,Paris,59378,687
44,Veronica Barnett,27,New York,67020,1302
45,Rick Johnson,23,Londres,99181,1763
46,Shelby Robertson,43,New York,42079,1578
47,Jonathan Gardner,49,New York,43530,912
48,Steven Peterson,43,Londres,88027,750
49,Jonathan Harris,46,Londres,66608,555
